Id,FormId,Name,Data,InstanceId
61976b8890914d6444a77767,Q50,Infraestruturas de Cultura,"{""q5001"":""Luanda"",""q5002"":""Belas"",""q5003"":""Kilamba"",""q5004"":""Bita Progresso"",""q5005"":""Pedro"",""q5006"":""Museu Kilamba"",""q5007"":""Museu"",""q5008"":""000000000,0000000000"",""q5009"":""M"",""q5010"":""921099089"",""q5011"":""museu@museu.com"",""q5012"":""www.museu.com"",""q5013"":""1637313351417-images.png"",""q5014"":""1637313362088-images.png"",""q5015"":""Em funcionamento"",""q5016"":""Bom estado de conservação"",""q5017"":""Governo Central"",""q5018"":""Sim"",""q5019"":""Sem obs""}",uuid:399bc4b3-933a-4d85-a401-7f1c2d1a6f95
61976c8d90914d6444a77772,Q51,Práticas e Manifestações Culturais no Município,"{""q5101"":""Cabinda"",""q5102"":""Cabinda"",""q5103"":""Mauro"",""q5104"":""12"",""q5105"":""10"",""q5106"":""8"",""q5107"":""12"",""q5108"":""11"",""q5109"":""19"",""q5110"":""50"",""q5111"":""60"",""q5112"":""15"",""q5113"":""10"",""q5114"":""25"",""q5115"":""30"",""q5116"":""35"",""q5117"":""29"",""q5118"":""18"",""q5119"":""12"",""q5120"":""33"",""q5121"":""33"",""q5122"":""44"",""q5123"":""22"",""q5124"":""Festival"",""q5125"":""encontros"",""q5126"":""Animação"",""q5127"":""Manifestação"",""q5128"":""outras"",""q5129"":""sem obs""}",uuid:e2bffd24-df8e-4032-bfd5-ab61f5d32c94
6197708f96f5f1d3e19d71d9,Q52,Infraestruturas de Desporto,"{""q5201"":""Benguela"",""q5202"":""Lobito"",""q5203"":""Egito Praia"",""q5204"":""Tala"",""q5205"":""Lulas"",""q5206"":""Pista"",""q5207"":""1637314628948-images.png"",""q5208"":""1637314635717-transferir.png"",""q5209"":""1637314644071-FB_IMG_1593116287979.jpg"",""q5210"":""0000,00000"",""q5211"":""Sem id"",""q5212"":""921909889"",""q5213"":""email.@email.com"",""q5214"":""www.site.com"",""q5215"":""Em funcionamento"",""q5216"":""Necessidade de manutenção"",""q5217"":""Governo Provincial"",""q5218"":""Futebol"",""q5219"":""Sim"",""q5220"":""sem""}",uuid:658a7609-d75b-412a-a0f5-6f0c2ac66f89
6197724596f5f1d3e19d71ea,Q53,Práticas Desportivas no Município,"{""q5301"":""Luanda"",""q5302"":""Quiçama"",""q5303"":""Pedro"",""q5304"":""Sem lista"",""q5305"":""Outras"",""q5306"":""Eventos"",""q5307"":""12"",""q5308"":""12"",""q5310"":""77"",""q5311"":""12"",""q5313"":""12"",""q5314"":""21"",""q5316"":""2"",""q5317"":""2""}",uuid:58b320bc-62e9-41ca-96fc-b49facc9e2ea
6197728d96f5f1d3e19d71f3,Q54,Meios de Comunicação Social,"{""q5401"":""Cabinda"",""q5402"":""Cacongo"",""q5403"":""Dinge"",""q5404"":""Balananga"",""q5405"":""Pedro"",""q5406"":""Sim"",""q5407"":""Sim"",""q5408"":""Sim"",""q5409"":""Sim"",""q5410"":""Sim"",""q5411"":""Sim"",""q5412"":""Sim"",""q5413"":""wdsaf""}",uuid:017ff7b3-1562-40e2-906b-09fe3969afa9
619772c296f5f1d3e19d71fd,Q55,Estruturas de Comunicação Social e Telecomunicação,"{""q5501"":""Benguela"",""q5502"":""Ganda"",""q5503"":""Chicuma"",""q5504"":""Chicava 1"",""q5505"":""Pedro"",""q5506"":""Antena de operadoras de rede móvel"",""q5507"":""1637315244434-depositphotos_188709886-stock-photo-old-dusty-stack-of-papers.jpg"",""q5508"":""1637315257429-transferir.png"",""q5509"":""0000,000000"",""q5510"":""sem""}",uuid:3df48f5a-7587-48ab-a66e-199eedb381e7
6197731a96f5f1d3e19d7207,Q56,Organizações da Sociedade Civil,"{""q5601"":""Cuando Cubango"",""q5602"":""Mavinga"",""q5603"":""Mavinga"",""q5604"":""Bula Matadi"",""q5605"":""Mateus"",""q5606"":""OSC"",""q5607"":""Sem id"",""q5608"":""921321212"",""q5609"":""email@email.com"",""q5610"":""www.site.com"",""q5611"":""Organização não Governamental (ONG)"",""q5612"":""1637315323646-transferir.png"",""q5613"":""1637315330103-images.png"",""q5614"":""0000,0000"",""q5615"":""area"",""q5616"":""Sem projectos"",""q5617"":""Sim"",""q5618"":""Sim"",""q5619"":""Sim"",""q5620"":""sem Obs""}",uuid:8dba2ae8-d96b-4fd2-941d-d5a8a4088c85
619773d396f5f1d3e19d7212,Q57,Estruturas de Organização e Suporte ao Desenvolvimento do Município,"{""q5701"":""Benguela"",""q5702"":""Ganda"",""q5703"":""Felipe"",""q5704"":""ADECOs"",""q5705"":""sem id"",""q5706"":""923900923"",""q5707"":""email@email.com"",""q5708"":""www.site.com"",""q5709"":""Educação"",""q5710"":""nenhum"",""q5711"":"""",""q5712"":"""",""q5713"":"""",""q5714"":"""",""q5715"":""obs""}",uuid:31444a5a-a30f-457d-8729-4dda547d566a
6197756a96f5f1d3e19d721d,Q58,Organizações Juvenis,"{""q5801"":""Cunene"",""q5802"":""Ombadja"",""q5803"":""Luis"",""q5804"":""Organização"",""q5805"":""Sim"",""q5806"":""identificacao"",""q5807"":""921321212"",""q5808"":""email@email.com"",""q5809"":""www.site.com"",""q5810"":""Objecto"",""q5811"":""project"",""q5812"":"""",""q5813"":"""",""q5814"":"""",""q5815"":"""",""q5816"":""Obs""}",uuid:6c2018df-ea0e-4598-a380-967bbc3d526d
619775ee96f5f1d3e19d7229,Q59,Produção e transporte de Energia,"{""q5901"":""Benguela"",""q5902"":""Ganda"",""q5903"":""Ebanga"",""q5904"":""Leitão"",""q5905"":""Paulo"",""q5906"":""Produção hídrica"",""q5907"":""Norte"",""q5908"":""Operador"",""q5909"":""9099090"",""q5910"":""identificacao"",""q5911"":""923344332"",""q5912"":""email@email.com"",""q5913"":""www.site.com"",""q5914"":""Central térmica de energia"",""q5915"":""0000,0000"",""q5916"":""1637316067552-FB_IMG_1593116287979.jpg"",""q5917"":""1637316072808-images.png"",""q5918"":""without""}",uuid:bf94dbf1-b4e7-4910-8b06-ccbbbab625b4
