Id,FormId,Name,Data,InstanceId
6166d79ba6572653c3e2316b,Q02,Comuna / Distrito,"{""q201"":""Lunda-Sul"",""q202"":""Dala"",""q203"":""Luma Cassai"",""q204"":""Jorge"",""q205"":""Naldio"",""q206"":""922000000"",""q207"":""naldio@gmail.com"",""q208"":""naldio.ao"",""q209"":""659948484,557797989"",""q210"":""23"",""q211"":""Obs""}",uuid:c02952f2-3603-40fa-8c59-57ebe8583f23
61b88e00c633cca7327aa725,Q28,Indicadores de Segurança Alimentar,"{""q2801"":""Luanda"",""q2802"":""Luanda"",""q2803"":""Sambizanga"",""q2804"":""Lixeira"",""q2805"":""Anselmo"",""q2806"":""3"",""q2807"":""4"",""q2808"":""5"",""q2809"":""25"",""q2810"":""5000"",""q2811"":""4"",""q2812"":""100"",""q2813"":""100"",""q2814"":""Observações""}",uuid:57198291-149a-49bb-9a8f-3362b0bdd2be
61b88e80c633cca7327aa72e,Q32,Educação e Ensino: Indicadores do Município,"{""q3201"":""Luanda"",""q3202"":""Luanda"",""q3203"":""Sambizanga"",""q3204"":""Lixeira"",""q3205"":""AJ"",""q3206"":""10"",""q3207"":""5"",""q3208"":""3"",""q3209"":""4"",""q3210"":""5"",""q3211"":""10"",""q3212"":""14"",""q3213"":""6"",""q3214"":""Observações de teste""}",uuid:88f3d310-a614-4789-9458-c10a02e87499
61b88ed3c633cca7327aa738,Q34,Educação e Ensino: Alfabetização e Educação de Jovens Adultos,"{""q3401"":""Luanda"",""q3402"":""Luanda"",""q3403"":""Sambizanga"",""q3404"":""Lixeira"",""q3405"":""AC"",""q3406"":""500"",""q3407"":""300"",""q3408"":""250"",""q3409"":""447"",""q3410"":""365"",""q3411"":""45"",""q3412"":""152"",""q3413"":""360"",""q3414"":""12"",""q3415"":""36"",""q3416"":""Observações para teste apenas""}",uuid:28e0df61-fcc7-4f7b-8cca-00706319fe00
61b88f04c633cca7327aa743,Q35,Educação e Ensino: Áreas de Formação no Município,"{""q3501"":""Luanda"",""q3502"":""Luanda"",""q3503"":""Cambinza"",""q3504"":""23"",""q3505"":""20"",""q3506"":""30"",""q3507"":""Observações para teste ""}",uuid:0ab1c43f-7817-4a98-b36e-a7335cc5cd6b
61b88f58c633cca7327aa74f,Q54,Meios de Comunicação Social,"{""q5401"":""Luanda"",""q5402"":""Luanda"",""q5403"":""Sambizanga"",""q5404"":""Lixeira"",""q5405"":"""",""q5406"":""Sim"",""q5407"":""Sim"",""q5408"":""Não"",""q5409"":""Não"",""q5410"":""Sim"",""q5411"":""Sim"",""q5412"":""Sim"",""q5413"":""Observações para teste""}",uuid:f1ea72c5-535e-4137-8488-c58581d9703d
61b88fbfc633cca7327aa75c,Q61,Energia: Indicadores Municipais,"{""q6101"":""Luanda"",""q6102"":""Luanda"",""q6103"":""aCAMBINZA"",""q6104"":""3"",""q6105"":""4"",""q6106"":""5"",""q6107"":""2"",""q6108"":""4"",""q6109"":""1"",""q6110"":""3"",""q6111"":""2"",""q6112"":""123"",""q6113"":""100"",""q6114"":""50"",""q6115"":""2500"",""q6116"":""720"",""q6117"":""Observações para teste""}",uuid:0a02039d-3f3c-4888-b3e9-c785ece1f875
61b89069c633cca7327aa76a,Q73,Rede Ferroviária,"{""q7301"":""Luanda"",""q7302"":""Luanda"",""q7303"":""Jorge"",""q7304"":""CF Luanda"",""q7305"":""23"",""q7306"":""Em bom estado de conservação"",""q7307"":""1230"",""q7308"":""Identificação Luanda"",""q7309"":""12,12"",""q7310"":""1639485506653-5cee7d8185600a3cbe60b33a.jpg"",""q7311"":""Identificação Saida"",""q7312"":""12,12"",""q7313"":""1639485520279-1_rAkrFWT2qbrcwI2tPrGA5A.jpg"",""q7314"":""Observações para teste""}",uuid:7e2bf962-f69f-4eae-a85d-c9c56985a4e3
61b8bafdc633cca7327aa784,Q38,Saúde: Utentes por Unidade de Saúde (US),"{""q3801"":""Luanda"",""q3802"":""Luanda"",""q3804"":""Lixeira"",""q3803"":""Sambizanga"",""q3805"":""Anselmo"",""q3806"":""Unidade 01"",""q3807"":""Hospital Nacional"",""q3808"":""30"",""q3809"":""25"",""q3810"":""28"",""q3811"":""35"",""q3812"":""45"",""q3813"":""24"",""q3814"":""29"",""q3815"":""32"",""q3816"":""33"",""q3817"":""45"",""q3818"":""36"",""q3819"":""47"",""q3820"":""52"",""q3821"":""120"",""q3822"":""52"",""q3823"":""40"",""q3824"":""33"",""q3825"":""37"",""q3826"":""38"",""q3827"":""40"",""q3828"":""36"",""q3829"":""125"",""q3831"":""Observações para teste""}",uuid:ec8e9dd6-80b6-45b8-a3f5-5ee9cbeb2ce3
61b8bbfdc633cca7327aa792,Q38,Saúde: Utentes por Unidade de Saúde (US),"{""q3801"":""Luanda"",""q3802"":""Luanda"",""q3804"":""Lixeira"",""q3803"":""Sambizanga"",""q3805"":""Cambinza"",""q3806"":""Unidade 02"",""q3807"":""Hospital Provincial"",""q3808"":""36"",""q3809"":""45"",""q3810"":""152"",""q3811"":""350"",""q3812"":""30"",""q3813"":""35"",""q3814"":""36"",""q3815"":""45"",""q3816"":""78"",""q3817"":""145"",""q3818"":""30"",""q3819"":""369"",""q3820"":""25"",""q3821"":""74"",""q3822"":""16"",""q3823"":""36"",""q3824"":""78"",""q3825"":""96"",""q3826"":""135"",""q3827"":""352"",""q3828"":""365"",""q3829"":""145"",""q3831"":""Observações, para teste""}",uuid:0972626b-89db-4415-b3bf-c3c815d8b4c2
61ccba27ffa91c09d80ba0f7,Q30,Educação e Ensino: Alunos por Estrutura Escolar,"{""q3001"":""Luanda"",""q3002"":""Luanda"",""q3003"":""Sambizanga"",""q3004"":""Santo Rosa"",""q3005"":""Qu"",""q3006"":""Escola 21 de Junho"",""q3007"":""12"",""q3008"":""13"",""q3009"":""43"",""q3010"":""233"",""q3011"":""34"",""q3012"":""65"",""q3013"":""111"",""q3014"":""87"",""q3015"":""342"",""q3017"":""422"",""q3018"":""12"",""q3019"":""21"",""q3020"":""32"",""q3021"":""45"",""q3022"":""312"",""q3023"":""123"",""q3024"":""34"",""q3025"":""56"",""q3028"":""23"",""q3029"":""33"",""q3030"":""53"",""q3031"":""66"",""q3032"":""79"",""q3033"":""56"",""q3034"":""34"",""q3035"":""32"",""q3036"":""87"",""q3037"":""23"",""q3038"":""98"",""q3039"":""42"",""q3040"":""43"",""q3041"":""787"",""q3042"":""Obs""}",uuid:34fb8c43-d053-4765-b7aa-490a342959b9
